,facilityId,facilityName,stateCode,so2Mass,so2Rate
914,3,Barry,AL,0.13,0.001
915,3,Barry,AL,0.051,0.001
916,3,Barry,AL,0.117,0.001
917,3,Barry,AL,0.156,0.001
918,3,Barry,AL,0.09,0.001
919,3,Barry,AL,0.095,0.001
920,3,Barry,AL,0.093,0.001
921,3,Barry,AL,0.092,0.001
922,3,Barry,AL,0.154,0.001
923,3,Barry,AL,0.237,0.001
924,3,Barry,AL,0.276,0.001
925,3,Barry,AL,0.337,0.001
926,3,Barry,AL,0.35,0.001
927,3,Barry,AL,0.375,0.001
928,3,Barry,AL,0.564,0.001
929,3,Barry,AL,0.55,0.001
930,3,Barry,AL,0.519,0.001
931,3,Barry,AL,0.519,0.001
932,3,Barry,AL,0.511,0.001
933,3,Barry,AL,0.516,0.001
934,3,Barry,AL,0.52,0.001
935,3,Barry,AL,0.522,0.001
936,3,Barry,AL,0.524,0.001
937,3,Barry,AL,0.527,0.001
938,3,Barry,AL,0.53,0.001
939,3,Barry,AL,0.529,0.001
940,3,Barry,AL,0.533,0.001
941,3,Barry,AL,0.532,0.001
942,3,Barry,AL,0.524,0.001
943,3,Barry,AL,0.528,0.001
944,3,Barry,AL,0.528,0.001
945,3,Barry,AL,0.529,0.001
946,3,Barry,AL,0.528,0.001
947,3,Barry,AL,0.526,0.001
948,3,Barry,AL,0.526,0.001
949,3,Barry,AL,0.613,0.001
950,3,Barry,AL,1.356,0.001
951,3,Barry,AL,1.899,0.001
952,3,Barry,AL,1.897,0.001
953,3,Barry,AL,1.918,0.001
954,3,Barry,AL,1.932,0.001
955,3,Barry,AL,1.938,0.001
956,3,Barry,AL,1.944,0.001
957,3,Barry,AL,1.947,0.001
958,3,Barry,AL,1.944,0.001
959,3,Barry,AL,1.946,0.001
960,3,Barry,AL,1.961,0.001
961,3,Barry,AL,1.965,0.001
962,3,Barry,AL,1.97,0.001
963,3,Barry,AL,1.969,0.001
964,3,Barry,AL,1.967,0.001
965,3,Barry,AL,1.959,0.001
966,3,Barry,AL,1.961,0.001
967,3,Barry,AL,1.964,0.001
968,3,Barry,AL,1.964,0.001
969,3,Barry,AL,1.965,0.001
970,3,Barry,AL,1.961,0.001
971,3,Barry,AL,1.952,0.001
972,3,Barry,AL,1.938,0.001
973,3,Barry,AL,1.924,0.001
974,3,Barry,AL,1.927,0.001
975,3,Barry,AL,1.921,0.001
976,3,Barry,AL,1.896,0.001
977,3,Barry,AL,1.874,0.001
978,3,Barry,AL,1.914,0.001
979,3,Barry,AL,1.9,0.001
980,3,Barry,AL,1.907,0.001
981,3,Barry,AL,1.913,0.001
982,3,Barry,AL,1.91,0.001
983,3,Barry,AL,1.909,0.001
984,3,Barry,AL,1.906,0.001
985,3,Barry,AL,1.915,0.001
986,3,Barry,AL,1.931,0.001
987,3,Barry,AL,1.94,0.001
988,3,Barry,AL,1.929,0.001
989,3,Barry,AL,1.939,0.001
990,3,Barry,AL,1.403,0.001
991,3,Barry,AL,0.519,0.001
992,3,Barry,AL,0.501,0.001
993,3,Barry,AL,0.505,0.001
994,3,Barry,AL,0.504,0.001
995,3,Barry,AL,0.502,0.001
996,3,Barry,AL,0.502,0.001
997,3,Barry,AL,0.503,0.001
998,3,Barry,AL,0.505,0.001
999,3,Barry,AL,0.504,0.001
1000,3,Barry,AL,0.503,0.001
1001,3,Barry,AL,0.504,0.001
1002,3,Barry,AL,0.504,0.001
1003,3,Barry,AL,0.506,0.001
1004,3,Barry,AL,0.506,0.001
1005,3,Barry,AL,0.508,0.001
1006,3,Barry,AL,0.51,0.001
1007,3,Barry,AL,0.508,0.001
1008,3,Barry,AL,67.3,0.014
1009,3,Barry,AL,215.6,0.045
1010,3,Barry,AL,72.9,0.015
1011,3,Barry,AL,128.3,0.027
1012,3,Barry,AL,256.8,0.055
1013,3,Barry,AL,425.8,0.069
1014,3,Barry,AL,331.1,0.045
1015,3,Barry,AL,336.6,0.046
1016,3,Barry,AL,250.5,0.035
1017,3,Barry,AL,222.6,0.033
1018,3,Barry,AL,153.3,0.028
1019,3,Barry,AL,262.3,0.053
1020,3,Barry,AL,207.8,0.043
1021,3,Barry,AL,232.8,0.04
1022,3,Barry,AL,333.1,0.049
1023,3,Barry,AL,275.8,0.047
1024,3,Barry,AL,194.1,0.041
1025,3,Barry,AL,124.2,0.027
1026,3,Barry,AL,117.9,0.026
1027,3,Barry,AL,165.0,0.045
1028,3,Barry,AL,175.9,0.048
1029,3,Barry,AL,109.5,0.033
1030,3,Barry,AL,84.4,0.025
1031,3,Barry,AL,107.1,0.032
1032,3,Barry,AL,75.7,0.028
1033,3,Barry,AL,54.4,0.028
1034,3,Barry,AL,20.1,0.015
1035,3,Barry,AL,16.2,0.018
1036,3,Barry,AL,15.8,0.021
1295,3,Barry,AL,11.025,0.12
1296,3,Barry,AL,15.0,0.046
1297,3,Barry,AL,15.3,0.04
1298,3,Barry,AL,15.5,0.043
1299,3,Barry,AL,15.4,0.037
1300,3,Barry,AL,15.4,0.04
1301,3,Barry,AL,15.5,0.043
1302,3,Barry,AL,15.4,0.043
1303,3,Barry,AL,15.4,0.043
1304,3,Barry,AL,15.5,0.043
1305,3,Barry,AL,15.5,0.043
1306,3,Barry,AL,15.6,0.04
1307,3,Barry,AL,15.6,0.03
1308,3,Barry,AL,23.5,0.019
1309,3,Barry,AL,39.8,0.014
1310,3,Barry,AL,23.2,0.007
1311,3,Barry,AL,30.3,0.011
1312,3,Barry,AL,10.4,0.014
1315,3,Barry,AL,3.95,0.149
1316,3,Barry,AL,15.5,0.043
1317,3,Barry,AL,14.6,0.06
1318,3,Barry,AL,14.5,0.035
1319,3,Barry,AL,15.8,0.027
1320,3,Barry,AL,17.2,0.018
1321,3,Barry,AL,21.4,0.007
1322,3,Barry,AL,26.0,0.007
1323,3,Barry,AL,22.6,0.007
1324,3,Barry,AL,31.2,0.01
1325,3,Barry,AL,52.7,0.013
1326,3,Barry,AL,106.5,0.022
1327,3,Barry,AL,210.2,0.043
1328,3,Barry,AL,373.5,0.077
1329,3,Barry,AL,190.5,0.038
1330,3,Barry,AL,149.0,0.031
1331,3,Barry,AL,167.3,0.035
1332,3,Barry,AL,181.6,0.038
1333,3,Barry,AL,210.9,0.044
1334,3,Barry,AL,291.8,0.061
1335,3,Barry,AL,361.3,0.075
1336,3,Barry,AL,273.5,0.056
1337,3,Barry,AL,125.9,0.026
1338,3,Barry,AL,114.7,0.024
1339,3,Barry,AL,170.1,0.036
1340,3,Barry,AL,195.9,0.041
1341,3,Barry,AL,218.9,0.044
1342,3,Barry,AL,190.1,0.039
1343,3,Barry,AL,149.0,0.031
1344,3,Barry,AL,0.897,0.001
1345,3,Barry,AL,0.92,0.001
1346,3,Barry,AL,0.955,0.001
1347,3,Barry,AL,0.979,0.001
1348,3,Barry,AL,1.051,0.001
1349,3,Barry,AL,1.062,0.001
1350,3,Barry,AL,1.072,0.001
1351,3,Barry,AL,1.072,0.001
1352,3,Barry,AL,1.073,0.001
1353,3,Barry,AL,1.074,0.001
1354,3,Barry,AL,1.073,0.001
1355,3,Barry,AL,1.071,0.001
1356,3,Barry,AL,1.072,0.001
1357,3,Barry,AL,1.072,0.001
1358,3,Barry,AL,1.071,0.001
1359,3,Barry,AL,1.072,0.001
1360,3,Barry,AL,1.072,0.001
1361,3,Barry,AL,1.073,0.001
1362,3,Barry,AL,1.073,0.001
1363,3,Barry,AL,1.075,0.001
1364,3,Barry,AL,1.076,0.001
1365,3,Barry,AL,1.076,0.001
1366,3,Barry,AL,1.076,0.001
1367,3,Barry,AL,1.075,0.001
1368,3,Barry,AL,1.075,0.001
1369,3,Barry,AL,1.061,0.001
1370,3,Barry,AL,1.064,0.001
1371,3,Barry,AL,1.061,0.001
1372,3,Barry,AL,1.069,0.001
1373,3,Barry,AL,1.071,0.001
1374,3,Barry,AL,1.072,0.001
1375,3,Barry,AL,1.073,0.001
1376,3,Barry,AL,1.075,0.001
1377,3,Barry,AL,1.076,0.001
1378,3,Barry,AL,1.077,0.001
1379,3,Barry,AL,1.076,0.001
1380,3,Barry,AL,1.076,0.001
1381,3,Barry,AL,1.076,0.001
1382,3,Barry,AL,1.075,0.001
1383,3,Barry,AL,1.076,0.001
1384,3,Barry,AL,1.076,0.001
1385,3,Barry,AL,1.076,0.001
1386,3,Barry,AL,1.076,0.001
1387,3,Barry,AL,1.076,0.001
1388,3,Barry,AL,1.075,0.001
1389,3,Barry,AL,1.076,0.001
1390,3,Barry,AL,1.077,0.001
1391,3,Barry,AL,1.077,0.001
1392,3,Barry,AL,1.076,0.001
1393,3,Barry,AL,1.069,0.001
1394,3,Barry,AL,1.061,0.001
1395,3,Barry,AL,1.075,0.001
1396,3,Barry,AL,1.076,0.001
1397,3,Barry,AL,1.075,0.001
1398,3,Barry,AL,1.076,0.001
1399,3,Barry,AL,1.076,0.001
1400,3,Barry,AL,1.082,0.001
1401,3,Barry,AL,1.082,0.001
